Issue Type,Summary,Epic Name,Parent,Description,Priority,Labels,Risk Rating,Timeline Risk Rating,Legal Review Required,Security Review Required,Data Governance Required,QA Required,PHI Flag,PII Flag,External Recipient,File Movement Required,Launch Blocker,Acceptance Criteria
Epic,Centene LAMP External File Delivery Implementation,Centene LAMP External File Delivery Implementation,,Govern build validate and approve weekly LAMP outbound file delivery for Centene using an approved external file delivery process.,High,"LAMP,Centene,FileMover,GovernedDelivery",L4,L2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All child stories completed and launch evidence attached
Epic,LAMP Data and Field Governance,LAMP Data and Field Governance,,Confirm approved data fields permitted use source-to-target mapping and data QA controls.,High,"LAMP,Centene,DataGovernance",L4,L2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Legal and data governance approvals attached
Story,Review approved LAMP outbound data fields,,LAMP Data and Field Governance,Review final outbound field list and confirm minimum necessary fields for approved purpose.,High,"LAMP,Centene,DataFields",L4,L2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Final field list classification and approval attached
Story,Confirm Legal and permitted-use approval,,LAMP Data and Field Governance,Confirm contract BAA SOW or permitted-use approval for outbound LAMP file delivery.,High,"LAMP,Centene,Legal",L4,L2,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Legal review decision attached
Story,Build source-to-target mapping,,LAMP Data and Field Governance,Document source tables transformations filters and target outbound fields.,High,"LAMP,Centene,DataMapping",L3,L2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mapping and peer review evidence attached
Epic,File Mover Delivery Configuration,File Mover Delivery Configuration,,Configure and validate the approved external file delivery layer destination access naming manifest and route controls.,High,"LAMP,Centene,FileMover",L4,L2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Delivery route and access evidence attached
Story,Confirm approved external delivery mechanism,,File Mover Delivery Configuration,Identify approved delivery mechanism such as MFT SFTP API cloud storage client portal reporting export or another file mover.,High,"LAMP,Centene,DeliveryMechanism",L4,L2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Approved destination and mechanism attached
Story,Configure file mover route and destination,,File Mover Delivery Configuration,Configure source destination environment schedule owner and route controls using canonical client or program identifiers where possible.,High,"LAMP,Centene,RouteConfig",L4,L2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Route configuration peer reviewed and evidence attached
Story,Review recipient access and permissions,,File Mover Delivery Configuration,Validate recipient allowlist access group service account permissions and least privilege.,High,"LAMP,Centene,AccessReview",L4,L2,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Security access approval attached
Story,Validate file naming and manifest controls,,File Mover Delivery Configuration,Confirm naming convention payload ownership reconciliation manifest control totals checksum and batch ID logic.,High,"LAMP,Centene,Manifest",L3,L2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Manifest and naming validation evidence attached
Epic,QA Launch Readiness and Operations,QA Launch Readiness and Operations,,Complete test delivery runbook monitoring and final launch approval.,High,"LAMP,Centene,LaunchReadiness",L4,L2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Launch readiness approval attached
Story,Execute production-equivalent test delivery,,QA Launch Readiness and Operations,Run production-equivalent test delivery and validate destination recipient file name payload manifest and logs.,High,"LAMP,Centene,QATestDelivery",L4,L2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Test delivery evidence and log attached
Story,Create operational runbook,,QA Launch Readiness and Operations,Document weekly cadence owner monitoring exception handling escalation and pause rollback plan.,High,"LAMP,Centene,Runbook",L3,L2,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Runbook attached and support handoff completed
Story,Configure monitoring and alerting,,QA Launch Readiness and Operations,Define job success failure monitoring delivery confirmation failure alert and exception owner.,Medium,"LAMP,Centene,Monitoring",L3,L2,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Monitoring evidence attached
Story,Approve production launch,,QA Launch Readiness and Operations,Confirm all required approvals evidence and launch decision before production delivery begins.,High,"LAMP,Centene,Approval",L4,L2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Final launch decision documented
